,East,East Midlands,London,North East,North West,South East,South West,West Midlands,Yorkshire and The Humber
2015-07-01,0.0004086198036072846,0.0002645576236158653,0.0008712869641624672,0.00043350098002978976,0.0002380677182946502,0.00045305363444154956,0.00047395115599332954,0.0004506261625070417,0.00029096204921144066
2015-10-01,0.0004603612244554766,0.0002986641085952481,0.0009667937769525366,0.00047774953336024944,0.00027510521340621885,0.0005157715094443123,0.000537421267418447,0.0004999981102477101,0.0003307864075689463
2016-01-01,0.0005186503952459978,0.0003371658203529618,0.0010727564187041833,0.000526511850553292,0.00031790267825104144,0.0005871656489764623,0.000609385007961029,0.0005547758635604632,0.0003760591658449734
2016-04-01,0.0005843148408360132,0.00038062868319656203,0.001190316507931189,0.0005802477769959349,0.00036735516472449276,0.000668434533987376,0.0006909772609913486,0.0006155504955619002,0.0004275250181954636
2016-07-01,0.0006582863813537267,0.00042969135781662117,0.0013207396040329257,0.000639463876595784,0.0004244965660857714,0.0007609416700107553,0.0007834840506937011,0.0006829775189450517,0.00048603023823435556
2016-10-01,0.0007416141987862105,0.0004850745538038832,0.0014654284997190447,0.0007047181505697944,0.0004905210729251822,0.0008662381546770129,0.0008883625284680401,0.0007577838676826455,0.0005525364745884576
2017-01-01,0.0008354795195840704,0.0005475915245605779,0.0016259379011982333,0.0007766252269194184,0.0005668079175962103,0.0009860882853284598,0.0010072635616315956,0.0008407756250819074,0.0006281364023865784
2017-04-01,0.0009412121074640142,0.0006181598920102157,0.0018039906322047455,0.0008558620662641485,0.0006549499019657563,0.0011224986025888362,0.0011420572515901855,0.0009328465756379131,0.0007140714751909733
2017-07-01,0.0010603087823761194,0.0006978149661339657,0.0020014955091892305,0.0009431742338597897,0.0007567862747111887,0.001277750813178776,0.001294861746404992,0.0010349876656218255,0.0008117520525663205
2017-10-01,0.001194454205402135,0.0007877247438817903,0.0022205670466635056,0.0010393827920985763,0.0008744406050058409,0.0014544390871324238,0.0014680757537901476,0.001148297465422952,0.0009227802125634895
2018-01-01,0.0013455441952238195,0.0008892067935658817,0.002463547163626183,0.0011453918725851638,0.001010364390106704,0.0016555122808540514,0.0016644152050164858,0.0012739937353532659,0.0010489755961056656
2018-04-01,0.0015157118697624713,0.0010037472545767938,0.0027330290740183102,0.0012621969920116314,0.00116738723583796,0.0018843216979798586,0.0018869545678135285,0.0014134262059237687,0.001192404671802704
2018-07-01,0.0017073569365976592,0.0011330222082863999,0.0030318835560091606,0.0013908941815170379,0.0013487745618521272,0.0021446750643568523,0.0021391733568185633,0.0015680906935043692,0.0013554138552293925
2018-10-01,0.0019231784876954203,0.0012789217044056637,0.0033632878062528596,0.0015326900050071709,0.001558293908192294,0.0024408974608582813,0.002425008442834753,0.0017396446827555375,0.001540666966240726
2019-01-01,0.002166211687570099,0.0014435767578957388,0.0037307570956450157,0.0016889125480137619,0.0018002910560153973,0.0027779000270056436,0.0027489128162116023,0.0019299245182203958,0.0017511875613906364
2019-04-01,0.0024398687788727775,0.0016293896647722379,0.004138179451977041,0.001861023465064508,0.0020797773227002464,0.0031612573176314617,0.003115921513693341,0.0021409643589095106,0.0019904067357154683
2019-07-01,0.0027479848649451977,0.0018390680206913823,0.004589853601513344,0.0020506311801760956,0.0024025295484003035,0.003597294261456275,0.0035317254701575512,0.0023750170614784197,0.0022622170485325503
2019-10-01,0.003094868964241514,0.002075662863839077,0.0050905304049957585,0.002259505341915437,0.0027752044545952662,0.004093183730773118,0.004002754104104678,0.00263457716952216,0.002571033290634799
2020-01-01,0.0034853608655037263,0.0023426114029736116,0.005645458022779925,0.002489592641419913,0.0032054692207758037,0.004657055780372418,0.004536267484914729,0.0029224061983629834,0.0029218608740184168
2020-04-01,0.0039248943435520964,0.002643784831896995,0.006260431037331748,0.0027430341087191328,0.003702150286081756,0.00529811964459046,0.005140458955896582,0.0032415604161820525,0.0033203726881318786
